厦门商报,http://www.xmnn.cn/dzbk/xmsb/epaper/paperindex.htm,xmnn_cn_27594,node_.*[0-9].htm$,content_.*[0-9].htm$
中国民航报,http://202.106.77.40/mhb,202_106_77_40_27295,node_.*[0-9].htm$,content_.*[0-9].htm$
经济参考报,http://202.84.17.25/www/pages/jjckb/paperindex.htm,202_84_17_25_26976,node_.*[0-9].htm$,content_.*[0-9].htm$
哈尔滨日报,http://61.167.35.147/hb,61_167_35_147_27126,node_.*[0-9].htm$,content_.*[0-9].htm$
新晚报,http://61.167.35.147/xwb,61_167_35_147_27013,node_.*[0-9].htm$,content_.*[0-9].htm$
安庆日报,http://aqdzb.aqnews.com.cn/aqrb/,aqdzb_aqnews_com_cn_27377,node_.*[0-9].htm$,content_.*[0-9].htm$
安庆晚报,http://aqdzb.aqnews.com.cn/aqwb,aqdzb_aqnews_com_cn_27378,node_.*[0-9].htm$,content_.*[0-9].htm$
白城日报,http://bcrbszb.chinajilin.com.cn/paperindex.htm,bcrbszb_chinajilin_com_cn_27214,node_.*[0-9].htm$,content_.*[0-9].htm$
中国品牌,http://brand.cqn.com.cn/,brand_cqn_com_cn_27417,node_.*[0-9].htm$,content_.*[0-9].htm$
巴中日报,http://bzrb.newssc.org/,bzrb_newssc_org_27230,node_.*[0-9].htm$,content_.*[0-9].htm$
青岛财经日报,http://caijing.qingdaonews.com,caijing_qingdaonews_com_27162,node_.*[0-9].htm$,content_.*[0-9].htm$
长白山日报,http://cbsrbszb.chinajilin.com.cn/paperindex.htm,cbsrbszb_chinajilin_com_cn_27215,node_.*[0-9].htm$,content_.*[0-9].htm$
长春日报,http://ccrbszb.chinajilin.com.cn/paperindex.htm,ccrbszb_chinajilin_com_cn_27216,node_.*[0-9].htm$,content_.*[0-9].htm$
成都日报,http://cdrb.newssc.org/,cdrb_newssc_org_27541,node_.*[0-9].htm$,content_.*[0-9].htm$
成都商报,http://cdsb.newssc.org/,cdsb_newssc_org_27095,node_.*[0-9].htm$,content_.*[0-9].htm$
成都晚报,http://cdwb.newssc.org/,cdwb_newssc_org_27542,node_.*[0-9].htm$,content_.*[0-9].htm$
城市导报,http://citynews.eastday.com/csdb,citynews_eastday_com_27096,node_.*[0-9].htm$,content_.*[0-9].htm$
经理日报,http://cjb.newssc.org/,cjb_newssc_org_27235,node_.*[0-9].htm$,content_.*[0-9].htm$
长江日报,http://cjrb.cnhan.com/,cjrb_cnhan_com_27441,node_.*[0-9].htm$,content_.*[0-9].htm$
中国国门时报,http://cngm.cqn.com.cn/,cngm_cqn_com_cn_27393,node_.*[0-9].htm$,content_.*[0-9].htm$
城市晚报,http://cswbszb.chinajilin.com.cn/paperindex.htm,cswbszb_chinajilin_com_cn_27219,node_.*[0-9].htm$,content_.*[0-9].htm$
昆明日报,http://daily.clzg.cn/,daily_clzg_cn_27307,node_.*[0-9].htm$,content_.*[0-9].htm$
东南商报,http://daily.cnnb.com.cn/dnsb/paperindex.htm,daily_cnnb_com_cn_27163,node_.*[0-9].htm$,content_.*[0-9].htm$
宁波日报,http://daily.cnnb.com.cn/nbrb/paperindex.htm,daily_cnnb_com_cn_27127,node_.*[0-9].htm$,content_.*[0-9].htm$
宁波晚报,http://daily.cnnb.com.cn/nbwb/paperindex.htm,daily_cnnb_com_cn_27265,node_.*[0-9].htm$,content_.*[0-9].htm$
东方卫报,http://dfwb.njnews.cn,dfwb_njnews_cn_27502,node_.*[0-9].htm$,content_.*[0-9].htm$
东莞时报,http://dgtime.timedg.com,dgtime_timedg_com_27152,node_.*[0-9].htm$,content_.*[0-9].htm$
东南快报,http://digi.dnkb.com.cn/,digi_dnkb_com_cn_27014,node_.*[0-9].htm$,content_.*[0-9].htm$
科技日报,http://digitalpaper.stdaily.com:81/kjrb/paperindex.htm,digitalpaper_stdaily_com_27269,node_.*[0-9].htm$,content_.*[0-9].htm$
东亚经贸新闻,http://dnews.dyxw.com/,dnews_dyxw_com_27204,node_.*[0-9].htm$,content_.*[0-9].htm$
都市快报,http://dskb.hangzhou.com.cn/,dskb_hangzhou_com_cn_27139,node_.*[0-9].htm$,content_.*[0-9].htm$
德阳日报,http://dyrb.newssc.org,dyrb_newssc_org_27572,node_.*[0-9].htm$,content_.*[0-9].htm$
江门日报,http://dzb.jmrb.com:8080/jmrb,dzb_jmrb_com_27029,node_.*[0-9].htm$,content_.*[0-9].htm$
大众证券报,http://dzzq.njnews.cn,dzzq_njnews_cn_27154,node_.*[0-9].htm$,content_.*[0-9].htm$
新文化报,http://enews.xwhb.net/,enews_xwhb_net_27016,node_.*[0-9].htm$,content_.*[0-9].htm$
右江日报,http://epaper.bsyjrb.com/,epaper_bsyjrb_com_27226,node_.*[0-9].htm$,content_.*[0-9].htm$
西藏日报,http://epaper.chinatibetnews.com/xzrb,epaper_chinatibetnews_com_27078,node_.*[0-9].htm$,content_.*[0-9].htm$
西藏商报,http://epaper.chinatibetnews.com/xzsb,epaper_chinatibetnews_com_27076,node_.*[0-9].htm$,content_.*[0-9].htm$
